Number,Program Title,Program Type,Program Genre,Network,First Air Month,First Air Day,First Air Year,Last Air Month,Last Air Day,Last Air Year,Program Description
9026, Where Was I? ,Series, Game, DuMont,,,1952,,,1953," The original format called for panelists to guess where contestants had been at certain times. In the revised format, a panel of four celebrities were called upon to locate hidden objects in photographs. Host: Dan Seymour, Ken Roberts, John Reed King. Panelists: Bill CuUen, Peter Donald, Skitch Henderson, Nancy Guild, David Ross, Samuel Graffin. Announcer: Bob Williams. "
9079, Why? ,Series, Game, ABC,,,1952,,,1953," A game that involves the five W's: Who, What, when Where and Why. The host states the first four W's of a situation; through a series of question-andanswer probe rounds, contestants have to determine the Why. Each correct answer awards a player points and the player with the highest score is the winner. Host: John Reed King. Assistant: Bill Cullen."
9330, Your Jeweler's Showcase. ,Series, Anthology, CBS,,,1952,,,1953," Quality dramatic presen-tations that ran from November 1, 1952 to June 9,  1953. Performers Include: Phyllis Coates, Celeste Holm, June Vinson, Barbara Whiting, Barton MacLane, Robert Sweeney, Robert Hutton, Jan Clayton, Dave Willock, Gladys George, Elisabeth Fraser, Sheldon Leonard, Lee Aaker, Martha Hyer, Ellen Corby, Ruth Warrick. "
4, The Abbott and Costello Show. ,Series, Comedy, Syn.,,,1952,,,1954," The Fields Rooming House at 214 Brookline Avenue in Hollywood, California, is owned by Sidney Fields, a patient and understanding man who tries to run ""a nice, quiet and decent"" establishment. He tries but the tenants complain about ""those two hoodlums you have living here."" Those ""hoodlums"" are Bud Abbott and Lou Costello, out of work actors who are struggling to survive on what jobs they can find (or more aptly put, what jobs Bud can find for Lou).Lou was born in Paterson, New Jersey, and mentioned that he helps support his sister and three nieces. Bud, who gets the hiccups when he's nervous, mentioned that he was a professional loafer (one who makes bread; not, as Lou believes, one who gets paid for doing nothing). Lou was also a Junior G-Man (a graduate of a through-the-mails detective school) and carried a toy cap pistol around with him for protection. ""We've got to raise some money"" is often said by Bud, as he and Lou are always behind in their seven dollar a week rent and finding work becomes a priority. (When they can't find work they sell what little valuables they have at Hock Shop Harry's.) Bud and Lou did have a number of jobs throughout the series run. These mostly one-day employment opportunities included being waiters at Brodie's Sea Food Restaurant; wallpaper hangers; pest exterminators; pet store owners; delivery boys for the Susquehanna Hat Company on Fluegel Street and soda jerks. When there is a situation that involves a friend (or stranger) who is in trouble, Bud always remarks ""Costello will get you out of this."" Bud and Lou also tried their hand at becoming cops by attending police rookie school. While the rules of the rooming house are quite strict (""no cooking cabbage in the apartment; no door slamming; no loud radio playing after 9:30; no pets; no babies"") Lou most often breaks the no-pet rule with Bingo the Chimp, a chimpanzee he adopted while working in the pet shop. Bingo dresses like Lou (trademark checkered jacket and gray hat). The six-year-old Bingo and Lou argue each night over who is going to take their bath first. Lou mentioned that Bingo's mother was working with a circus and his father was in the Belgian Congo. When Bud and Lou are out of town, Lou's girlfriend, Hillary Brooke, baby sits for Bingo. Hillary, a gorgeous blonde, held jobs in accordance with what the episode called for (for example, nurse, dental assistant, waitress, lawyer's office receptionist, owner of the B-Bar-B Ranch in Texas, and owner of a haunted castle at Goblins Knob, which she inherited from her Uncle Montague). When Hillary calls on Lou she brings him cream puffs. 3While Sidney Fields was primarily the landlord, he also played a number of relatives who were supposed tops in their fields (for example, Professor Melonhead, the judo expert; Lawyer Claude Melonhead; Judge Melonhead). Mike Kelly is the neighborhood police officer called ""Mike the Cop""; Stinky Davis is Lou's friend, a 30-year-old ""kid"" who loves to play games like football and hopscotch with Lou; Mr. Botchagalupe is the neighborhood's enterprising street vendor (seen selling fruit, vegetables, ice cream _Êî whatever the episode called for). The song ""The Jazz Babies Ball"" is used as the show's second season theme (over which a montage of Bud and Lou's movie clips is seen). Cast: Bud Abbott (Himself), Lou Costello (Himself), Hillary Brooke (Herself), Sidney Fields (Himself), Gordon Jones (Mike the Cop), Joe Besser (Stinky), Joe Kirk (Mr. Botchagalupe). Regulars: Joan Shawlee, Veda Ann Borg, Joe Sawyer, Joyce Compton, Gloria Henry, George Chandler, Lucien Littlefield. "
1993, The Dennis James Show. ,Series, Variety, ABC,,,1952,,,1954," The program features interviews, audience participation and discussions on various topical issues. Host: Dennis James. Assistant: Julia Meade. "
3786, The Hunter. ,Series, Adventure, Syn.,,,1952,,,1954," Bartholomew ""Bart"" Hunter is a mysterious United States undercover agent who is known as ""The Hunter."" Adopting the guise of a wealthy American playboy, he attempts to corrupt the forces of Communism in the Western world. The series is spiced with light humor as it depicts Bart's somewhat unorthodox methods (usually in a variety of disguises) to accomplish his missions. Liz is Bart's friend in Prague; Janet Wood is the American reporter based in Europe; Rita is Bart's friend in Copenhagen; Ruby Ellis is Bart's old flame (1954 episodes). Cast: Barry Nelson (Bart Adams, 1952-1954), Keith Larsen [Bart Adams, 1954), Anna Minor {Liz), Lisa Howard (Janet Wood), Barbara Bolton (Rita), Susanna TaFel (Ruby Ellis). Narrator: Barry Nelson, Keith Larsen. "
4480, Kovacs Unlimited. ,Series, Comedy, CBS,,,1952,,,1954," Split second blackouts and sketches that satirize everyday life. Comedian Ernie Kovacs, the host, is backed by singer Edie Adams and regulars Andy McKay, Trig Lund and Peter Hanley. "
5404, Mr. and Mrs. North. ,Series, Crime Drama," CBS, NBC",,,1952,,,1954," ""To Jerry, with Love, Pam,"" is the inscription on the pocket watch Pamela North gave to her husband, Gerald (""Jerry"") North, on the occasion of their first wedding anniversary. (They have been married five years when the series begins. Pam and Jerry married on a Friday afternoon during Pam's lunch hour and honeymooned in Paris.) Jerry, a lieutenant in the Navy during World War II, is a former private detective who relinquished the rough life for a peaceful existence as a publisher (for an unidentified house). Pamela is young, beautiful and fashion conscious, and she believes she possesses the mind of a detective (when she sees something that is wrong, she immediately associates it with foul play). Much to Jerry's regret, Pam is most often right and he finds himself playing detective again to solve a crime. It is unfair to give Jerry all the credit. Pam does solve crimes on her own. She is so unassuming that the culprit is unaware of her brilliance and is caught by surprise. Pam is extremely proud of herself at these moments and tells Jerry, ""If I hadn't used my brains, I'd be dead. You'd have a corpse for a wife."" (Unfortunately, Pam tells Jerry this when he is trying to sleep or is involved with a manuscript; the remark falls virtually on deaf ears _Êî ""Yes, honey, that's nice, dear."" Occasionally, Jerry's subconscioushears what Pam is saying. When he reahzes what she said, he shows great concern and tells her not to do it again. She agrees _Êî until the next episode.) Jerry and Pam live at 24 Sainte Anne's Place, Apartment 6A, in New York's Greenwich Village. (Their address is also given as 23 Sainte Anne's Place, Apartment 408 _Êî even though Apartment 6A is seen in the opening theme.) Their closest friend is Bill Weigand, a lieutenant with the Homicide Division of the Police Department of New York City (he was best man at their wedding). The series is based on the novel by Frances and Richard Lockridge. See also the two prior titles. Cast: Richard Denning {Jerry North), Barbara Britton {Pamela North), Francis DeSales {Bill Weigand). "
5630, My Friend Irma. ,Series, Comedy, CBS,,,1952,,,1954," ""If she thinks it could be dangerous,"" says Jane Stacy, the level-headed roommate of Irma Peterson, a beautiful and shapely ""dumb blonde"" whose well-meaning intentions always backfire. Irma and Jane share Apartment 3B (later 2C) at Mrs. O'Reilly's Boarding House at 185 West 73rd Street in Manhattan. Irma was born in Minnesota and loves the excitement of big-city life. She works as a secretary for Milton J. Clyde, owner of the Clyde Real Estate Company at 631 East 4lst Street. She is sweet and sensitive and realizes that she is not as smart as other people. She talks to walls ""to clear the cobwebs out of my mind,"" reads ""Flash Gordon"" comic books and ""when I don't want people to know I know something, I pretend I'm dumb."" Irma is always fashionably dressed; she is a picture of beauty, a good housekeeper and an ample cook, but is head over heels in love with the wrongman _Êî Al, ""The best customer at the state unemployment office."" The averse-to-work Al is a con artist who calls Irma ""Chicken."" Jane believes he ""is a live wire and it is only a matter of time before they hook him up and put a chair under him."" Jane was born in Connecticut and lived with her parents at 1362 Post Valley Road before coming to New York to fulfill a dream: marrying a rich man. Jane believes only money can buy happiness and begins her quest by becoming the personal secretary to Richard Rhinelander, the wealthy owner of the Richard Rhinelander Investment Company at 113 Park Avenue. Jane secretly loves Richard and desperately tries to impress him, but feels her chances will be ruined by Irma, who is well below his social scale. Richard is a graduate of Harvard Business School and, despite his encounters with Irma, finds her delightful. Jane talks directly to the audience to relate her feelings as the story progresses. She met Irma quite by accident while looking for an apartment. Irma, who never looks where she is going, bumped into Jane and knocked her to the ground. In the process of helping her to her feet, Irma ripped Jane's dress. When Irma learned that Jane was looking for a place to live, she offered to let her live with her _Êî in ""a one-room furnished basement Irma calls home."" Before leaving the series in 1953 (she was transferred to Panama), Jane summed up Irma with ""Mother Nature gave some girls brains, intelligence and cleverness. But with Irma, Mother Nature slipped her a Mickey."" Kay Foster is Irma's new roommate. Irma appeared onstage and explained in an opening curtain speech that Kay responded to her newspaper ad and became her new roommate. Kay is bright and beautiful and works as a reporter for the New York Globe. She, too, speaks directly to the audience and comments on the situations that develop as a result of Irma's antics. Kay was born in Ohio and attended Ohio State College (majoring in journalism). There were plans for Irma to marry and continue the series as My Wife Irma. While this never happened, Al was dropped to give Irma a more respectable boyfriend _Êî Joe Vance, a neatly dressed, intelligent, hard-working man (for the Spic and Span Cleaners). Joe called Irma ""Beautiful"" and gave her a ""used"" engagement ring when he proposed (he purchased the microscopic diamond in the ring from a friend when he broke up with his girl). Irma didn't mind; she loved Joe and accepted it. Kay's boyfriend is Brad Jackson, a reporter for the Globe. Kathleen O'Reilly is the owner of the boarding house; Professor Kropotkin is Irma's neighbor, who plays violin at the Paradise Burlesque Theater (later the Gypsy Tea Room). To avoid the hassle of always having to do her nails, Marie Wilson wears white gloves in virtually every episode. Based on the radio program of the same title.Cast: Marie Wilson {Irma Peterson), Cathy Lewis {Jane Stacey), Mary Shipp {Kay Foster), Sid Tomack {Al), Hal March {]oe Vance), Brooks West {Richard Rhinelander III), Gerald Mohr {Brad Jackson), Donald MacBride {Milton J. Clyde), Sig Arno {Professor Kropotkin), Gloria Gordon {Mrs. O'Reilly), Richard Eyer {Bobby Peterson, Irma's nephew), John Carradine {Mr. Corday), Margaret DuMont {Richard's mother). Announcer: Frank Bingham, Bob Lemond. "
8466, Tootsie Hippodrome. ,Series, Children, ABC,,,1952,,,1954," A program of entertainment geared to children: circus variety acts, country and western entertainers, music and quizzes (a prize is awarded to a child if he can correctly answer a question). Host: John Reed King, Whitey Carson, Boyd Heath. Assistant: Mary Reynolds {as Judy Ami). "
1237, Captain Z-Ro. ,Series, Science Fiction, Syn.,,,1952,,,1955," ""Somewhere on an uncharted portion of the planet Earth [a desolate mountainous area that is misty and alive with active volcanoes] stands the laboratory of Captain Z-Ro. In this secret location, known only to a few in the outside world. Captain Z-Ro and his associates experiment in time and space to learn from the past to learn for the future."" The mysterious Captain Z-Ro is the inventor of a time machine that enables him and his assistant. Jet (a young boy) to view the past via the machine's telescreens. When a decision is made to view the past (usually the Captain's way to prove to Jet that something he read about actually happened), the Captain programs the time machine's Lectric Chamber with the date and time. The Cycle Reactor ""cracksthe fourth dimension and ejects us back in time."" When the search has been completed, the special television screens allow the Captain and Jet to see an event from the past. If the Captain feels a figure from the past is in danger, he can go back to that period by standing in the Lectric Chamber. When Jet activates the Spector Wave Length, the Captain begins to dematerialize and disappears from view. Symmetrical impulses are then transmitted over time, and the Captain reappears in the programmed era. The Captain helps people in trouble with his Pararay Gun (which paralyzes a subject for 60 seconds). When he has accomplished his mission, he says, ""All right, Jet, take me back."" Jet then reverses the Symmetrical Impulses, and the Captain returns to the present. The Captain, a research explorer in space and time, has a rocket ship called ZX-99. The Video Plate aboard the ship is a round picture-like tube that allows the Captain to view outer space. The Gravity Generator regulates the gravity inside the ship. The ZX-99 travels at the rate of five miles per second, and when one of the team is about to embark on a mission, the Captain says, ""Spaceman's luck."" Micro also assists them. ""Be sure to be standing by when we again transmit you to this remote location on the planet Earth when Captain Z-Ro and his associates will conduct another experiment in time and space."" Cast: Roy Steffins {Captain Z-Ro), Bobby Trumbull {Jet, 1952), Jeff Silvers {Jet, 1953), Bruce Haynes {Jet, 1954-1955), H.M. Chamberlain {Micro). "
3821, I Married Joan. ,Series, Comedy, NBC,,,1952,,,1955," Pretending she is an item on an auction block, Joan Stevens, the wife of Judge Bradley (""Brad"") Stevens, says, ""Folks, I have here item 45, a wife. Due to circumstances beyond her control, this wife is losing its owner. Now, what am I bid for this wife? This is not an ordinary wife. This one's a real goof. This wife is unconditionally guaranteed to louse things up."" Joan means well, meddling in Brad (and other people's lives) but all her good intentions inevitably backfire (even her fortune cookie fortunes are against her: ""When you opened this cookie, you read the fortune we put in it. But when you opened your mouth, you just stuck your foot in it""). Joan is president of the local Women's Club and a member of the Women's Welfare League. Joan is a whiz at maneuvering the household funds ""to balance the books."" She loves to buy clothes; when she doesn't have the money to pay for something at the moment, she has it sent C.O.D. Brad, on the other hand, is level-headed, patient, understanding and deeply in love with Joan. He is a domestic relations judge for the county of Los Angeles. Brad loves hunting and golf and he calls Joan ""Lover"" (she calls him ""Honey""). Brad's hobby is stamp collecting. The Stevens live at 133 Stone Drive (also given as 345 Laurel Drive). Joan's favorite television soap opera is Two Hearts Against the World, and she is a fan of Guy Lombardo. The series' official screen title is The Joan Davis Show: L Married Joan.Relatives: Beverly Wills (Joan's sister, Beverly Grossman), Alan Grossman (Beverly's husband, Alan Grossman, an army lieutenant stationed at Fort Williams), Elvia Allman (Joan's aunt. Vera), Norma Varden (Brad's mother, Florry Stevens). Cast: Joan Davis {Joan Stevens), Jim Backus {Bradley Stevens), Sheila Bromley {Janet Tobin), Dan Tobin {Kerwin Tobin), Geraldine Carr {Mabel), Hal Smith {Charlie), Sandra Gould {Mildred Webster). Theme Vocal: ""I Married Joan"" by The Roger Wagner Chorale. "
5437, Mister Peepers. ,Series, Comedy, NBC,,,1952,,,1955," Jefferson City is a small American town rather than a city. There is the local newspaper, the Jefferson City Press and Collector, City High School, City College, Jefferson General Hospital and, most important, Jefferson City Junior High School, the focal point of the first series to spoof the public schoolteacher. The hero of our saga is Robinson J. Peepers, an army corporal who returns to teaching (general science) after an honorable discharge (poor eyesight). Robinson is gentle and kind, and his students are all his fans. He is also timid and shy and easily taken advantage of. Robinson was born in the neighboring town of WiUiamsport where his mother, ""Ma Peepers,"" and his sister, Agnes Peepers, still live (Agnes is a teacher at the Jefferson Observatory; Mrs. F.R. Peepers is the name on the mailbox) . Robinson talks directly to the audience when he feels the need. Royala Dean, the school's music teacher, was Robinson's first love interest. When the series, intended only to be a summer replacement for The James Melton Show, achieved high ratings, it was quickly brought back to replace the Eddie Mayehoff series. Doc Corkle, which was canceled after three episodes. Robinson's new love interest was Nancy Remington, the school nurse. They became engaged in the episode of 4/25/54 and married on 5/23/54 (Sylvia Field and Ernest Truex appeared as Nancy's parents. For this particular episode, 50 couples, honeymooning in New York City, occupied the studio audience). Harvey Weskit is the history teacher. He is married to Marge and is best friends with Robinson (whom he calls ""Ace"" and ""Rob""; Marge calls him ""Robbie""). Marge and Harvey became parents of a baby boy (1954) they named Harrison Brookfield Weskit. Marge was born in Chicago, and Robinson calls Harvey, who was best man at his wedding, ""Wes."" Mrs. Gurney is the wife of school principal Gabriel Gurney and is an English teacher. She fusses, mutters to herself, sentimentalizes and forgets what she is about to say (she is almost identical to ""Aunt Clara,"" the character she played on Bewitched). Gage Clark as Mr. Bascomb, became the principal inl954. Frank T. Whipp III is the school's coach; Madeline Schreiber is one of Robinson's students. Bernie Green composed the theme. A narrator opens the show: ""NBC television presents Mister Peepers. Created by David Swift. And now, here's Jefferson City's most popular general science teacher, Robinson J. Peepers."" Cast: Wally Cox {Robinson J. Peepers), Tony Randall {Harvey Weskit), Norma Crane {Royala Dean), Marion Lorne {Mrs. Gurney), Joseph Foley {Gabriel Gurney), Patricia Benoit {Nancy Remington), Georgann Johnson {Marge Weskitt), Gage Clark {Mr. Bascomb), Ernest Truex {Nancy's father) , Sylvia Field {Nancy's mother), Ruth McDevitt {Robinson's mother), Jenny Egan {Agnes Peepers) , Carol Lynley {Madeline Schreiber), Jack Weston {Frank T. Whipp III). "
5640, My Little Margie. ,Series, Comedy," CBS, NBC",,,1952,,,1955," As the opening theme music is heard, the audience sees the framed pictures of two people: a beautiful 21-year-old girl named Marjorie (""Margie"") Albright, and her distinguished father, Vernon (""Vern"") Albright. The camera first focuses on the portrait of Vern. The picture comes to life and we learn about his problem _Êî Margie: ""I've been both mother and father to her since she was born. She's grown up now.... When she was little I could speak to her and make her mind me. I had control over her.... When she disobeyed, I took her roller skates away for a week. What can you do when a girl reaches this age? She's completely out of hand. I've got a problem, believe me, I've got a problem."" The camera pans to the picture of Margie and we learn of her problem _Êî Vern: ""I've raised him from my childhood. He's nearly 50 now and you'd think he'd settle down, wouldn't you? Today, he looks better in shorts on a tennis court than fellows 25. Girls wink at him, and what's worse, he winks back at them. I want a nice old comfortable father. I try to look after him, but he just won't settle down. I've got a problem, believe me, I've got a problem."" Stories relate incidents in Margie and Vern's lives as they attempt to resolve their respective problems. Margie and Vern live in Apartment lOA of the Carlton Arms Hotel in New York City. Vern is an investment counselor with the Manhattan firm of Honeywell and Todd. Mrs. Clarissa Odetts, their neighbor, lives in Apartment IOC, and Vern's romantic interest, Roberta Townsend, lives in Apartment lOB. Margie, who is described as ""pretty, shapely and attractive,"" appears to have no job. She uses her beauty to get men to do what she wants them to do. Margie loves to meddle in Vern's business (and private) affairs. When Margie does something, Vern finds out. Vern decides to get even and teach her a lesson. However, as Vern tries to teach Margie a lesson, she finds out and turns the tables and tries to teach him a lesson for trying to teach her a lesson (the basic plot of virtually every episode). Margie, who has Irish blood from her mother, is a talented dancer. Freddie Wilson is Margie's impoverished boyfriend. He seems permanently suited for unemployment, and, as Vern says, ""Freddie is the only man I know who got fired from five different jobs in the same week."" Despite the fact that Vern dislikes Freddie and calls him a ""droop,"" Margie loves him.Mrs. Odetts is Margie's elderly neighbor and her ""cohort in crime."" She is an 82-year-old, young at heart widow who had British ancestors at Valley Forge. Her lifelong ambition was to be an actress, and she finds pure delight in helping Margie turn the tables on Vern. George Honeywell is Vern's boss at the investment agency, and Charlie is the building elevator operator. Relatives: Lela Bliss Hayden (Freddie's mother), Harry Hayden (Freddie's father), Sheila James (Clarissa's granddaughter. Norma Jean Odetts), Crystal Reeves (Clarissa's sister. Amy McKenna), Fess Parker, (Clarissa's nephew, Lonny Crunchmeyer), Gloria Talbott (Clarissa's granddaughter. Amy McKenna), Angela Stevens (George's niece, Nancy Crumbley), Alvy Moore (George's nephew, Dillard Crumbley III). In one episode, Margie pretended to be her 11-year-old sister, Sally Albright. The series, which produced 126 episodes, ran on CBS from June 16, 1952 to July 10, 1953; and on NBC from September 9, 1953 to August 24, 1955. Cast: Gale Storm {Margie Albright), Charles Farrell (Vernon Albright) , Don Hayden {Freddie Wilson), Hillary Brooke {Roberta Townsend), Gertrude Hoffman {Clarissa Odetts), Willie Best {Charlie), Clarence Kolb {George Honeywell), George Meader {Mr. Todd). "
6773, The Red Buttons Show. ,Series, Variety," CBS, NBC",,,1952,,,1955," A weekly variety and comedy series that actually had two different formats. The original format (1952-54) features music, songs and various comedy sketches hosted (and performed by) comedian Red Buttons. The revised format (1954-55) features the antics of Red Buttons as a trouble-prone television comedian. The series aired on CBS from October 14, 1952 to June 14, 1954 and on NBC from October 1, 1954 to May 27, 1955. Cast: Red Buttons {Host), Dorothy Joliffe {Red's Wife, 1952-54), Phyllis Kirk {Red's wife, 1954-55), Paul Lynde {Network Vice President, 1954-55). Regulars: Beverly Dennis, Jean Carson, Jimmy Little, Sara Seeger, Ralph Stanley, Johnny Birch, Howard Smith, Allan Walker, Betty Ann Grove, The Ho Ho Kids. Announcer: Harry Kramer, Nelson Case. Orchestra: Elliot Lawrence. "
8945, Welcome Travelers. ,Series, Interview," NBC, CBS",,,1952,,,1955," Travelers, met at bus, railroad and plane terminals, are invited to the studio where, in exchange for gifts, they relate their experiences and impressions of Chicago. The series ran on NBC from September 8, 1952 to May 2, 1954 and on CBS from July 5, 1954 to October 21, 1955. Host: Tony Bartlett, Bob Cunningham. Announcer: William T. Lazar. "
2827, Four Star Playhouse. ,Series, Anthology, CBS,,,1952,,,1956," A series of dramatic presentations produced by the Four Star Television Studios. The series, which produced 129 episodes, aired from September 25, 1952 to September 27, 1956. Eight episodes featured Dick Powell as nightclub owner Willie Dante (the episodes were rebroadcastas a series called The Best in Mystery. See this title for information). Regulars: Charles Boyer, David Niven, Dick Powell, Ida Lupino. Performers Include: Beverly Garland, Peggie Castle, Dorothy Green, Joanne Woodward, Philip Ahn, Frances Bergen, Joi Lansing, Ginger Hall, Scott Forbes, Joyce Gates, Sir Cedric Hardwicke, Tanya Borgh, Phyllis Coates, Arthur Franz, Teresa Wright, Stuart Whitman, Beverly Washburn, Alan Mowbray, Jennifer Raines, Angela Lansbury, Barton MacLane, John Lupton, Joanne Dru, Nigel Bruce, Gerald Mohr, Audrey Totter, Ellen Corby, Marjorie Lord, King Donovan, Paula Raymond, Mae Clarke, Maria Palmer, Amanda Blake, Martha Hyer, Carolyn Jones, Nestor Paiva, Broderick Crawford, Lucille Barkley, Elisabeth Eraser, Ronald Colman, Joan Fontaine, Barbara Lawrence, Hillary Brooke, Marcia Henderson. "
3736, The Hour Glass. ,Series, Anthology, ABC,,,1952,,,1956," A series of dramatizations that depict the plight of people confronted with sudden, unexpected situations. The series ran from December 3, 1952 to September 27, 1956. "
5252, Meet Millie. ,Series, Comedy, CBS,,,1952,,,1956," MiUie Bronson is a beautiful 21-year-old single girl who lives with her mother. Bertha Bronson at 137 West 4lst Street (Apartment 3B) in New York City. MiUie, a graduate of Public School 98 and Central High School, works as a secretary to Johnny Boone, Jr. Johnny's father, John Boone, Sr., is the owner of the company (it is impossible to tell what kind of company Boone owns; there is no name on the door or office walls, and office conversation revolves around Millie and Johnny; printed sources describe it as both an ad agency and an investment company). Stories focus on the relationship betweenMillie and Johnny _Êî a romance that Millie originally only dreamed about until one of Bertha's endless attempts to spark a romance between the two finally worked. Bertha, called ""Mama,"" is a widow who is 48 years old but tells everyone she is 37; in some episodes she says she is ""48 minus ten minus five."" If Mama had had the opportunity to have a second daughter, she would have named her Gwendolyn. In last season episodes, Millie and Mama spend time as ranch hands on the E.K. Weems Cattle Ranch in Texas. ""It all started the day I was born. My father said he wanted a girl and my mother said she wanted a boy. I was born and they were both disappointed,"" says Alfred E. Printzmetal, Mama and Millie's ""life is depressing"" seemingly permanently unemployed friend (Bertha says, ""Alfred's job is standing in line at the unemployment office""). Alfred can't get along with his parents, especially his father, and has a parrot named Irving. He hopes one day to build up the courage to leave home and find his own apartment. ""I'll never understand women,"" he says. ""They're too complicated. I'll wait until there is something else to marry."" John Boone, Sr. believes that when P.T Barnum said, ""There is a sucker born every minute,"" he was referring to women. He is henpecked, calls his wife many things behind her back but is a pussycat when he is with her. Based on the radio series of the same title (in which Audrey Totter played Millie). Irving Miller composed the theme. Announcer Bob Lemond opens the show: ""Live from Television City in Hollywood, Arrid Cream Deodorant, America's largest selling deodorant, presents Meet Millie. Created by Frank Gallen. Starring Florence Halop as Mama, Marvin Kaplan as Alfred and Elena Verdugo as Millie. A gay comedy about the life and loves of a Manhattan secretary."" Cast: Elena Verdugo {Millie Bronson), Florence Halop {Bertha Bronson), Ross Ford {Johnny Boone, Jr.), Marvin Kaplan {Alfred E. Printzmetal), Earl Ross {J.R. Boone, Sr.), Roland Winters {J.R. Boone, Sr.; later), Isabel Randolph {Mrs. Boone; J.R. 's wife), Harry Cheshire {E.K Weems). "
5507, Montgomery's Summer Stock. ,Series, Anthology, NBC,,,1952,,,1956," Original dramatic productions with a regular cast of performers that aired as the summer replacement for Robert Montgomery Presents. The series, which produced 44 episodes total, is also known as Robert Montgomery's Summer Stock. The series aired from July 14, 1952 to August 25, 1952 (6 episodes); July 6, 1953 to August 24, 1953 (8 episodes); June 28, 1954 to September 13, 1954 (12 episodes); July 4, 1955 toSeptember 5, 1955 (10 episodes); and July 2, 1956 to September 3, 1956. Regular Performers: Elizabeth Montgomery, Vaughn Taylor, Jan Miner, Judy Parrish, John Newland, Margaret Hayes, Anne Seymour, Cliff Robertson, Charles Drake, House Jameson, Augusta Dabney, Dorothy Blackburn, Eric Sinclair, Mary K. Wells, John Gibson, Tom Middleton. "
6143, Our Miss Brooks. ,Series, Comedy, CBS,,,1952,,,1956," Constance (""Connie"") Brooks is an English teacher at Madison High School in a small town called Madison. She lives at Mrs. Davis's boardinghouse on Carroll Avenue (Margaret Davis, the owner, has a cat named Minerva). Connie has a tendency to forget her birthday and is soft hearted _Êî she can't turn down anyone with a hard luck story. After a hard day at school, Connie has what she calls ""Schoolteacher's B &amp; B"" _Êî bath and bed. Connie has frequent dreams about her boyfriend, Philip Boynton, Madison's biology teacher. ""As usual,"" Connie says about her dreams, ""nothing happens."" Philip is shy, and Connie wishes he would take ""brave shots."" Connie started dating Philip in 1948 when he got his pet lab frog, McDougal. She says ""that even though Philip is a biology teacher, there is a big difference between teaching it and learning it."" Philip is just not romantic. He treats Connie with respect (too much, Connie beUeves). Despite the lack of affection (even kisses), Connie loves Philip and hopes to make a man out of him. Osgood Conklin is the always yelling, easily upset and stern principal. He was a major during World War II and spent four years as commander of Camp Fabrick in Ohio. ""He is a lame-brain dunce,"" says Osgood about Walter Denton, a student at the school. Walter is the manager of the track team, drives a hot rod that cost him $30 and each morning stops by Mrs.Davis's to drive Connie to scliool _Êî and have a second breakfast. Walter is crazy in love with Osgood's daughter, Harriet, a student at Madison High. ""Harriet is a wonderful girl,"" Walter says. ""Walter's my life, my future, my all,"" exclaims Harriet; but if someone else should catch her fancy _Êî ""Who needs Walter,"" she says. Madison's star basketball player is Fabian (""Stretch"") Snodgrass, a not too bright student who is the school's hope of winning the state championship. The format changed in last season episodes: Madison High is demolished to make way for a highway. Connie acquires a job as an English teacher at Mrs. Nestor's Elementary School in California's San Fernando Valley. Philip and Connie's relationship is broken off when he secures employment as a biology teacher at an Arizona high school. Osgood acquires the job as principal at Mrs. Nestor's, and Mrs. Davis finds a new boardinghouse on Maple Street (where Connie again resides). Connie's new romantic interest is Gene Talbot, the school's handsome athletic director. Other Regulars (New Version): Clint Albright, the gym instructor; Mrs. Nestor, the school's owner; Oliver Muncey, Mrs. Nestor's brother; and Benny Romero, the problem student. Relatives: Virginia Gordon and Paula Winslow (Osgood's wife, Martha Conklin), Eddie Ryder (Stretch's brother, Winston [""Bones""] Snodgrass), Jesslyn Fax (Mrs. Davis's sister, Angela), Hy Averback (Benny's father). Theme: ""Our Miss Brooks,"" by Wilbur Hatch. Cast: Eve Arden {Connie Brooks), Robert Rockwell {Philip Boynton), Gale Gordon {Osgood Conklin), Richard Crenna {Walter Denton), Jane Morgan {Margaret Davis), Gloria McMillan {Harriet Conklin), Leonard Smith {Stretch Snodgrass), Gene Barry {Gene Talbot), William Ching {Clint Albright), Ricky Vera {Benny Romero), Nana Bryant {Mrs. Nestor), Jesslyn Fax {Angela), Hy Averback {Benny's father), Joseph Kearns {Superintendent Stone), Bob Sweeney {Oliver Munsey). P^nnoxmceT: Bob Lemond. "
